ParcelID,Hem,Surface area (mm2),Centroid (MNI),Community,labels,x,y,z
241,R,92.8435,48.1 38.3 -9.2,VentralAttn,R_VentralAttn,48.1,38.3,-9.2
138,L,141.7905,-89.6,Visual,L_Visual,-8.6,-77.5,-3.5
177,R,248.7267,15.6 -59.6 -5,Visual,R_Visual,15.6,-59.6,-5
20,L,141.8696,-66.4,Visual,L_Visual,-16.7,-46,-3.7
176,R,271.7806,19.6 -45.3 -4.4,Visual,R_Visual,19.6,-45.3,-4.4
175,R,1935.3433,15.5 -74.1 9.4,Visual,R_Visual,15.5,-74.1,9.4
17,L,44.2265,-9.6 -58 3,Visual,L_Visual,-9.6,-58,3
16,L,88.7269,-22 -58.1 1.5,Visual,L_Visual,-22,-58.1,1.5
15,L,1660.1678,-11.3 -83.2 3.9,Visual,L_Visual,-11.3,-83.2,3.9
141,L,540.5193,-116,Visual,L_Visual,-22.6,-81.7,-11.7
140,L,353.1761,-130.3,Visual,L_Visual,-25.2,-97.2,-7.9
169,R,102.0263,22.3 -46.5 -9.9,Visual,R_Visual,22.3,-46.5,-9.9
8,L,486.7238,-82.3,Visual,L_Visual,-16.8,-60.1,-5.4
263,R,1229.8269,31.7 -85.7 2.4,Visual,R_Visual,31.7,-85.7,2.4
5,L,870.9255,-18.4 -85.5 21.6,Visual,L_Visual,-18.4,-85.5,21.6
166,R,593.5447,22 -84.6 23.7,Visual,R_Visual,22,-84.6,23.7
264,R,434.2555,43.8 -67.2 2,Visual,R_Visual,43.8,-67.2,2
139,L,230.3638,-119.2,Visual,L_Visual,-41.2,-72.1,-5.9
137,L,482.8474,-5.4 -88 18.6,Visual,L_Visual,-5.4,-88,18.6
311,R,132.4753,14.6 -70.3 23.3,Visual,R_Visual,14.6,-70.3,23.3
132,L,201.042,-114,Visual,L_Visual,-34.4,-63.9,-15.7
293,R,72.3148,31.2 -45.6 -5.8,Visual,R_Visual,31.2,-45.6,-5.8
90,L,186.6595,-13.7 -77.4 26.6,Visual,L_Visual,-13.7,-77.4,26.6
97,L,618.9258,-31.3 -84.2 9,Visual,L_Visual,-31.3,-84.2,9
98,L,199.9098,-121.3,Visual,L_Visual,-34.2,-86.6,-0.5
298,R,938.133,26.9 -69.1 -6.6,Visual,R_Visual,26.9,-69.1,-6.6
299,R,568.8912,34.9 -44 -20,Visual,R_Visual,34.9,-44,-20
251,R,224.6477,26.8 -55 54.2,Visual,R_Visual,26.8,-55,54.2
255,R,161.0414,17.6 -78.3 34,Visual,R_Visual,17.6,-78.3,34
99,L,343.7314,-43.4 -67.6 9.7,Visual,L_Visual,-43.4,-67.6,9.7
256,R,100.2299,7.7 -85.6 31.6,Visual,R_Visual,7.7,-85.6,31.6
267,R,156.0239,49 -54.5 8.8,Visual,R_Visual,49,-54.5,8.8
258,R,196.9966,35.4 -77.1 21.1,Visual,R_Visual,35.4,-77.1,21.1
131,L,296.7072,-96.7,Visual,L_Visual,-28.8,-58.8,-9.1
307,R,187.6045,13.8 -92.3 14.7,Visual,R_Visual,13.8,-92.3,14.7
308,R,209.8972,10.5 -73.8 -1.5,Visual,R_Visual,10.5,-73.8,-1.5
309,R,142.2532,20.4 -87.3 -6.6,Visual,R_Visual,20.4,-87.3,-6.6
310,R,161.0441,5.1 -80.2 23.1,Visual,R_Visual,5.1,-80.2,23.1
136,L,314.0602,-99.7,Visual,L_Visual,-34.3,-43.8,-21.6
265,R,732.0485,47.3 -52.4 -11.7,Visual,R_Visual,47.3,-52.4,-11.7
