ParcelID,Hem,Surface area (mm2),Centroid (MNI),Community,labels,x,y,z
93,L,214.9129,-10.9 -73.4 42.9,CinguloParietal,L_CinguloParietal,-10.9,-73.4,42.9
89,L,118.0988,-12.7 -64.9 31.8,CinguloParietal,L_CinguloParietal,-12.7,-64.9,31.8
254,R,287.7833,15.6 -69.5 39.6,CinguloParietal,R_CinguloParietal,15.6,-69.5,39.6
12,L,134.183,-6.1 -26 28.5,CinguloParietal,L_CinguloParietal,-6.1,-26,28.5
116,L,539.1494,-5.9 54.8 -11.3,Default,L_Default,-5.9,54.8,-11.3
114,L,85.7529,-27.5 53.6 0,Default,L_Default,-27.5,53.6,0
117,L,307.5771,-6.8 38.2 -9.4,Default,L_Default,-6.8,38.2,-9.4
94,L,485.8351,-39.3 -73.9 38.3,Default,L_Default,-39.3,-73.9,38.3
220,R,658.6387,48.9 -53 28.6,Default,R_Default,48.9,-53,28.6
165,R,445.2963,11.9 21.9 59.9,Default,R_Default,11.9,21.9,59.9
225,R,259.4568,62.5 -25.6 -5.5,Default,R_Default,62.5,-25.6,-5.5
162,R,1286.0436,12.3 -51.6 34.5,Default,R_Default,12.3,-51.6,34.5
154,L,104.9614,-26.2 26.6 38.8,Default,L_Default,-26.2,26.6,38.8
200,R,368.354,21.9 21 46.2,Default,R_Default,21.9,21,46.2
145,L,177.8342,-15.9 48.6 37.2,Default,L_Default,-15.9,48.6,37.2
186,R,85.9457,3 -19.6 37.9,Default,R_Default,3,-19.6,37.9
152,L,176.6896,-6 44.9 6.3,Default,L_Default,-6,44.9,6.3
146,L,272.8985,-19.5 56.3 27.5,Default,L_Default,-19.5,56.3,27.5
126,L,141.899,-99.1,Default,L_Default,-63.2,-28.7,-7.2
127,L,776.4789,-80.5,Default,L_Default,-53.1,-11.4,-16
151,L,150.8711,-15.7 64.7 13.7,Default,L_Default,-15.7,64.7,13.7
150,L,685.0619,-6.5 54.7 18.1,Default,L_Default,-6.5,54.7,18.1
184,R,375.3193,7.7 44.1 5.5,Default,R_Default,7.7,44.1,5.5
157,L,351.7286,-41.7 16.1 47.5,Default,L_Default,-41.7,16.1,47.5
1,L,1411.6436,-11.2 -52.4 36.5,Default,L_Default,-11.2,-52.4,36.5
156,L,139.2005,-29.3 16.8 50.7,Default,L_Default,-29.3,16.8,50.7
278,R,279.6353,4.8 65.1 -7.1,Default,R_Default,4.8,65.1,-7.1
279,R,422.7278,7.2 48.4 -10.1,Default,R_Default,7.2,48.4,-10.1
290,R,711.4259,57.5 -7.4 -16.4,Default,R_Default,57.5,-7.4,-16.4
26,L,121.3918,-1.7 -17.7 39.1,Default,L_Default,-1.7,-17.7,39.1
259,R,709.9593,46.5 -67.3 36.2,Default,R_Default,46.5,-67.3,36.2
44,L,518.7352,-19.5 30.1 45.5,Default,L_Default,-19.5,30.1,45.5
257,R,53.1597,7.4 -69.3 49.9,Default,R_Default,7.4,-69.3,49.9
315,R,200.1364,21 32.8 42.1,Default,R_Default,21,32.8,42.1
316,R,111.1649,21.4 42.8 35.1,Default,R_Default,21.4,42.8,35.1
25,L,200.8502,-5.6 42.2 35.1,Default,L_Default,-5.6,42.2,35.1
322,R,494.1675,8.2 53.8 14,Default,R_Default,8.2,53.8,14
323,R,118.0971,5.9 54.9 29.4,Default,R_Default,5.9,54.9,29.4
324,R,201.5247,13.8 46.7 42.1,Default,R_Default,13.8,46.7,42.1
325,R,251.6252,6.8 44.5 34.8,Default,R_Default,6.8,44.5,34.8
326,R,83.9548,30.6 18.9 48.7,Default,R_Default,30.6,18.9,48.7
6,L,1083.6667,-47.2 -58 30.8,Default,L_Default,-47.2,-58,30.8
4,L,368.6362,-11.7 26.7 57,Default,L_Default,-11.7,26.7,57
331,R,101.3923,54.4 1.1 -12.9,Default,R_Default,54.4,1.1,-12.9
321,R,285.4723,16 61 19.8,Default,R_Default,16,61,19.8
208,R,162.1634,22.6 5.6 57.6,DorsalAttn,R_DorsalAttn,22.6,5.6,57.6
203,R,252.1197,29.9 -7.8 47.4,DorsalAttn,R_DorsalAttn,29.9,-7.8,47.4
88,L,259.5151,-25.8 -65 32.2,DorsalAttn,L_DorsalAttn,-25.8,-65,32.2
189,R,381.2393,10.3 -57.3 58.3,DorsalAttn,R_DorsalAttn,10.3,-57.3,58.3
271,R,232.1352,47.3 2 37.6,DorsalAttn,R_DorsalAttn,47.3,2,37.6
275,R,846.8954,46.6 7.8 19.3,DorsalAttn,R_DorsalAttn,46.6,7.8,19.3
199,R,125.3723,29.2 1.9 52.4,DorsalAttn,R_DorsalAttn,29.2,1.9,52.4
211,R,139.5682,38.8 -42.6 40.4,DorsalAttn,R_DorsalAttn,38.8,-42.6,40.4
91,L,259.2567,-9.9 -56.9 59.8,DorsalAttn,L_DorsalAttn,-9.9,-56.9,59.8
43,L,113.9601,-19.8 6.4 55.7,DorsalAttn,L_DorsalAttn,-19.8,6.4,55.7
92,L,81.3067,-7.1 -63.7 54.9,DorsalAttn,L_DorsalAttn,-7.1,-63.7,54.9
87,L,429.2031,-20.4 -64.6 51.4,DorsalAttn,L_DorsalAttn,-20.4,-64.6,51.4
236,R,243.2837,36.8 37.8 13.1,DorsalAttn,R_DorsalAttn,36.8,37.8,13.1
95,L,112.4037,-30 -74.1 36.1,DorsalAttn,L_DorsalAttn,-30,-74.1,36.1
155,L,150.8689,-35.7 33.1 32,DorsalAttn,L_DorsalAttn,-35.7,33.1,32
74,L,213.1817,-43.6 36.3 8.5,DorsalAttn,L_DorsalAttn,-43.6,36.3,8.5
250,R,93.8732,48.1 38.4 2.4,DorsalAttn,R_DorsalAttn,48.1,38.4,2.4
100,L,1018.5765,-111.8,DorsalAttn,L_DorsalAttn,-46.2,-57.7,-7.9
252,R,362.1161,23 -66.4 51.8,DorsalAttn,R_DorsalAttn,23,-66.4,51.8
42,L,95.2355,-27.3 1.9 52.9,DorsalAttn,L_DorsalAttn,-27.3,1.9,52.9
55,L,189.2331,-51.7 -30.9 39.9,DorsalAttn,L_DorsalAttn,-51.7,-30.9,39.9
106,L,493.9182,-45.2 2.7 32.4,DorsalAttn,L_DorsalAttn,-45.2,2.7,32.4
107,L,75.7565,-34.7 5.6 34,DorsalAttn,L_DorsalAttn,-34.7,5.6,34
253,R,265.5131,32.3 -63.6 33.8,DorsalAttn,R_DorsalAttn,32.3,-63.6,33.8
52,L,181.2718,-42.9 -45 43,DorsalAttn,L_DorsalAttn,-42.9,-45,43
266,R,79.8507,57 -53.8 -1.1,DorsalAttn,R_DorsalAttn,57,-53.8,-1.1
262,R,156.9758,33.5 -48.2 49.4,DorsalAttn,R_DorsalAttn,33.5,-48.2,49.4
49,L,136.5671,-21.3 -0.2 62.7,DorsalAttn,L_DorsalAttn,-21.3,-0.2,62.7
113,L,79.561,-41.6 8.7 22.2,DorsalAttn,L_DorsalAttn,-41.6,8.7,22.2
51,L,317.0145,-31.1 -48.9 47.1,DorsalAttn,L_DorsalAttn,-31.1,-48.9,47.1
41,L,345.6601,-27.3 -6.8 46.3,DorsalAttn,L_DorsalAttn,-27.3,-6.8,46.3
110,L,179.3036,-37.6 38.4 17.2,DorsalAttn,L_DorsalAttn,-37.6,38.4,17.2
168,R,156.6639,38.1 45.9 7.7,FrontoParietal,R_FrontoParietal,38.1,45.9,7.7
320,R,96.1945,30.9 52.2 9.9,FrontoParietal,R_FrontoParietal,30.9,52.2,9.9
319,R,254.779,23.5 59.1 4.9,FrontoParietal,R_FrontoParietal,23.5,59.1,4.9
260,R,59.9758,41.5 -53.5 44,FrontoParietal,R_FrontoParietal,41.5,-53.5,44
272,R,168.7146,37.8 28.7 35.6,FrontoParietal,R_FrontoParietal,37.8,28.7,35.6
261,R,39.9006,35.7 -56.7 45.2,FrontoParietal,R_FrontoParietal,35.7,-56.7,45.2
240,R,306.7999,42.8 48.3 -5.1,FrontoParietal,R_FrontoParietal,42.8,48.3,-5.1
276,R,58.8152,38.6 18.8 25.5,FrontoParietal,R_FrontoParietal,38.6,18.8,25.5
327,R,384.2628,42.4 19.5 48.2,FrontoParietal,R_FrontoParietal,42.4,19.5,48.2
328,R,142.111,38.9 9.6 42.7,FrontoParietal,R_FrontoParietal,38.9,9.6,42.7
277,R,327.9747,28.4 57 -5.1,FrontoParietal,R_FrontoParietal,28.4,57,-5.1
182,R,259.7731,7 25.7 47.3,FrontoParietal,R_FrontoParietal,7,25.7,47.3
